"","year","month","day","gram","counts"
"1",2020,4,1,"covid 19",134128
"2",2020,4,1,"coronavirus pandemic",9566
"3",2020,4,1,"coronavirus covid19",9232
"4",2020,4,1,"covid19 coronavirus",6970
"5",2020,4,1,"stay home",5271
"6",2020,4,1,"19 pandemic",5262
"7",2020,4,1,"coronavirus outbreak",4891
"8",2020,4,1,"coronavirus crisis",4767
"9",2020,4,1,"coronavirus cases",4603
"10",2020,4,1,"via youtube",4434
"11",2020,4,1,"april fools",4380
"12",2020,4,1,"new york",4368
"13",2020,4,1,"covidー19 coronavirus",4242
"14",2020,4,1,"social distancing",4158
"15",2020,4,1,"due coronavirus",4156
"16",2020,4,1,"amid coronavirus",3877
"17",2020,4,1,"coronavirus covid",3316
"18",2020,4,1,"fight coronavirus",3129
"19",2020,4,1,"death toll",3072
"20",2020,4,1,"rel nofollow",3012
"21",2020,4,1,"href rel",3012
"22",2020,4,1,"coronavirus via",2997
"23",2020,4,1,"coronavirus covidー19",2960
"24",2020,4,1,"true href",2950
"25",2020,4,1,"100 000",2863
"26",2020,4,1,"coronavirus lockdown",2821
"27",2020,4,1,"white house",2767
"28",2020,4,1,"19 cases",2729
"29",2020,4,1,"coronavirus response",2661
"30",2020,4,1,"19 crisis",2615
"31",2020,4,1,"nofollow twitter",2578
"32",2020,4,1,"tested positive",2516
"33",2020,4,1,"gt gt",2459
"34",2020,4,1,"new cases",2451
"35",2020,4,1,"covidー19 covid19",2403
"36",2020,4,1,"stay safe",2360
"37",2020,4,1,"coronavirus deaths",2350
"38",2020,4,1,"gon na",2289
"39",2020,4,1,"covid19 pandemic",2285
"40",2020,4,1,"due covid",2247
"41",2020,4,1,"positive coronavirus",2224
"42",2020,4,1,"donald trump",2174
"43",2020,4,1,"crisis coronavirus",2081
"44",2020,4,1,"19 outbreak",2056
"45",2020,4,1,"corona virus",2028
"46",2020,4,1,"spread coronavirus",2015
"47",2020,4,1,"sign petition",2001
"48",2020,4,1,"news coronavirus",1991
"49",2020,4,1,"confirmed cases",1909
"50",2020,4,1,"fake news",1908
"51",2020,4,2,"covid 19",136656
"52",2020,4,2,"coronavirus pandemic",9487
"53",2020,4,2,"coronavirus covid19",8925
"54",2020,4,2,"covid19 coronavirus",5818
"55",2020,4,2,"19 pandemic",5245
"56",2020,4,2,"stay home",4996
"57",2020,4,2,"coronavirus outbreak",4726
"58",2020,4,2,"coronavirus cases",4715
"59",2020,4,2,"coronavirus crisis",4647
"60",2020,4,2,"new york",4368
"61",2020,4,2,"via youtube",4004
"62",2020,4,2,"due coronavirus",3606
"63",2020,4,2,"social distancing",3437
"64",2020,4,2,"amid coronavirus",3394
"65",2020,4,2,"coronavirus covid",3192
"66",2020,4,2,"19 cases",2946
"67",2020,4,2,"href rel",2903
"68",2020,4,2,"rel nofollow",2903
"69",2020,4,2,"true href",2850
"70",2020,4,2,"coronavirus via",2822
"71",2020,4,2,"19 crisis",2804
"72",2020,4,2,"death toll",2791
"73",2020,4,2,"19 optimiscegahcovid19",2715
"74",2020,4,2,"coronavirus response",2664
"75",2020,4,2,"coronavirus lockdown",2656
"76",2020,4,2,"fight coronavirus",2613
"77",2020,4,2,"white house",2583
"78",2020,4,2,"covid19 pandemic",2517
"79",2020,4,2,"new cases",2498
"80",2020,4,2,"nofollow twitter",2457
"81",2020,4,2,"covidー19 coronavirus",2454
"82",2020,4,2,"crisis coronavirus",2316
"83",2020,4,2,"tested positive",2312
"84",2020,4,2,"spread coronavirus",2288
"85",2020,4,2,"stay safe",2120
"86",2020,4,2,"19 outbreak",2106
"87",2020,4,2,"coronavirus covidー19",2091
"88",2020,4,2,"gon na",2078
"89",2020,4,2,"confirmed cases",2015
"90",2020,4,2,"public health",2011
"91",2020,4,2,"du coronavirus",1959
"92",2020,4,2,"positive coronavirus",1956
"93",2020,4,2,"10 000",1949
"94",2020,4,2,"coronavirus patients",1912
"95",2020,4,2,"due covid",1856
"96",2020,4,2,"100 000",1843
"97",2020,4,2,"coronavirus deaths",1837
"98",2020,4,2,"health care",1801
"99",2020,4,2,"news coronavirus",1766
"100",2020,4,2,"donald trump",1764
"101",2020,4,2,"corona virus",1741
"102",2020,4,3,"covid 19",139627
"103",2020,4,3,"coronavirus pandemic",9220
"104",2020,4,3,"coronavirus covid19",8748
"105",2020,4,3,"covid19 coronavirus",7284
"106",2020,4,3,"19 pandemic",5560
"107",2020,4,3,"stay home",5430
"108",2020,4,3,"new york",5185
"109",2020,4,3,"coronavirus crisis",5092
"110",2020,4,3,"coronavirus outbreak",4294
"111",2020,4,3,"via youtube",4272
"112",2020,4,3,"coronavirus cases",4213
"113",2020,4,3,"social distancing",3894
"114",2020,4,3,"stay safe",3186
"115",2020,4,3,"due coronavirus",3141
"116",2020,4,3,"coronavirus covid",3122
"117",2020,4,3,"amid coronavirus",3117
"118",2020,4,3,"href rel",3100
"119",2020,4,3,"rel nofollow",3100
"120",2020,4,3,"fight coronavirus",3084
"121",2020,4,3,"true href",3039
"122",2020,4,3,"19 crisis",2893
"123",2020,4,3,"19 cases",2813
"124",2020,4,3,"coronavirus via",2742
"125",2020,4,3,"nofollow twitter",2653
"126",2020,4,3,"covid19 pandemic",2646
"127",2020,4,3,"new cases",2580
"128",2020,4,3,"health care",2560
"129",2020,4,3,"coronavirus response",2501
"130",2020,4,3,"coronavirus lockdown",2497
"131",2020,4,3,"white house",2462
"132",2020,4,3,"death toll",2354
"133",2020,4,3,"fight covid19",2314
"134",2020,4,3,"gon na",2194
"135",2020,4,3,"spread coronavirus",2192
"136",2020,4,3,"tested positive",2163
"137",2020,4,3,"due covid",2077
"138",2020,4,3,"bbc news",1972
"139",2020,4,3,"public health",1969
"140",2020,4,3,"corona virus",1951
"141",2020,4,3,"news coronavirus",1939
"142",2020,4,3,"april 2020",1900
"143",2020,4,3,"19 outbreak",1873
"144",2020,4,3,"19 patients",1859
"145",2020,4,3,"du coronavirus",1839
"146",2020,4,3,"positive coronavirus",1822
"147",2020,4,3,"fight covid",1808
"148",2020,4,3,"twitter web",1794
"149",2020,4,3,"crisis coronavirus",1786
"150",2020,4,3,"fox news",1772
"151",2020,4,3,"coronavirus patients",1769
"152",2020,4,3,"coronavirus deaths",1759
"153",2020,4,4,"covid 19",137354
"154",2020,4,4,"coronavirus covid19",9072
"155",2020,4,4,"coronavirus pandemic",8021
"156",2020,4,4,"new york",6805
"157",2020,4,4,"covid19 coronavirus",6668
"158",2020,4,4,"stay home",5601
"159",2020,4,4,"via youtube",5041
"160",2020,4,4,"coronavirus cases",4512
"161",2020,4,4,"19 pandemic",4460
"162",2020,4,4,"19 coronabisadisembuhkan",4288
"163",2020,4,4,"coronavirus crisis",3784
"164",2020,4,4,"social distancing",3761
"165",2020,4,4,"coronavirus outbreak",3560
"166",2020,4,4,"death toll",3075
"167",2020,4,4,"new cases",3049
"168",2020,4,4,"coronavirus covid",2822
"169",2020,4,4,"korban covid",2815
"170",2020,4,4,"19 cases",2794
"171",2020,4,4,"disiplin ikuti",2779
"172",2020,4,4,"pemerintah untuk",2775
"173",2020,4,4,"19 dapat",2774
"174",2020,4,4,"untuk melakukan",2767
"175",2020,4,4,"tetap disiplin",2760
"176",2020,4,4,"menyebutkan bahwa",2758
"177",2020,4,4,"bahwa korban",2757
"178",2020,4,4,"ingat tetap",2757
"179",2020,4,4,"ikuti ajakan",2756
"180",2020,4,4,"pemberitaan menyebutkan",2756
"181",2020,4,4,"banyak pemberitaan",2756
"182",2020,4,4,"ajakan pemerintah",2755
"183",2020,4,4,"melakukan upaya",2754
"184",2020,4,4,"berita bahagia",2721
"185",2020,4,4,"bahagia banyak",2721
"186",2020,4,4,"rel nofollow",2719
"187",2020,4,4,"href rel",2719
"188",2020,4,4,"sembuhnamun ingat",2690
"189",2020,4,4,"dapat sembuhnamun",2690
"190",2020,4,4,"fight coronavirus",2672
"191",2020,4,4,"true href",2668
"192",2020,4,4,"stay safe",2619
"193",2020,4,4,"coronavirus lockdown",2613
"194",2020,4,4,"year old",2593
"195",2020,4,4,"tested positive",2576
"196",2020,4,4,"amid coronavirus",2569
"197",2020,4,4,"coronavirus via",2557
"198",2020,4,4,"donald trump",2422
"199",2020,4,4,"nofollow twitter",2400
"200",2020,4,4,"due coronavirus",2392
"201",2020,4,4,"upaya pencegahan",2337
"202",2020,4,4,"pasti bisa",2332
"203",2020,4,4,"covid2019 coronavirus",2325
"204",2020,4,5,"covid 19",134274
"205",2020,4,5,"coronavirus pandemic",8441
"206",2020,4,5,"coronavirus covid19",8433
"207",2020,4,5,"new york",7135
"208",2020,4,5,"covid19 coronavirus",5930
"209",2020,4,5,"stay home",5277
"210",2020,4,5,"via youtube",5227
"211",2020,4,5,"positive coronavirus",4822
"212",2020,4,5,"boris johnson",4792
"213",2020,4,5,"coronavirus crisis",4639
"214",2020,4,5,"penyebaran covid",4483
"215",2020,4,5,"coronavirus cases",4457
"216",2020,4,5,"19 pandemic",4425
"217",2020,4,5,"tests positive",4148
"218",2020,4,5,"coronavirus outbreak",4077
"219",2020,4,5,"death toll",3822
"220",2020,4,5,"social distancing",3820
"221",2020,4,5,"di rumah",3612
"222",2020,4,5,"putus penyebaran",3456
"223",2020,4,5,"new cases",3275
"224",2020,4,5,"bronx zoo",3232
"225",2020,4,5,"amid coronavirus",3152
"226",2020,4,5,"coronavirus covid",3104
"227",2020,4,5,"diri sendiri",3096
"228",2020,4,5,"dan keluarga",3069
"229",2020,4,5,"dan tidak",3062
"230",2020,4,5,"fight coronavirus",3055
"231",2020,4,5,"tidak panik",3052
"232",2020,4,5,"bbc news",3046
"233",2020,4,5,"tidak piknik",3037
"234",2020,4,5,"tested positive",3035
"235",2020,4,5,"mudik tidak",3035
"236",2020,4,5,"piknik dan",3033
"237",2020,4,5,"panik lebihbaikdirumahaja",2985
"238",2020,4,5,"berada di",2981
"239",2020,4,5,"sendiri dan",2951
"240",2020,4,5,"keluarga dengan",2944
"241",2020,4,5,"dengan berada",2941
"242",2020,4,5,"admitted hospital",2925
"243",2020,4,5,"covid 19lindungi",2904
"244",2020,4,5,"19lindungi diri",2904
"245",2020,4,5,"coronavirus covid_19",2903
"246",2020,4,5,"coronavirus lockdown",2897
"247",2020,4,5,"rumah sajatidak",2897
"248",2020,4,5,"sajatidak mudik",2896
"249",2020,4,5,"19 cases",2844
"250",2020,4,5,"news coronavirus",2824
"251",2020,4,5,"donald trump",2658
"252",2020,4,5,"coronavirus via",2649
"253",2020,4,5,"href rel",2626
"254",2020,4,5,"rel nofollow",2626
"255",2020,4,6,"covid 19",154076
"256",2020,4,6,"boris johnson",11911
"257",2020,4,6,"coronavirus covid19",9499
"258",2020,4,6,"coronavirus pandemic",9334
"259",2020,4,6,"covid19 coronavirus",7227
"260",2020,4,6,"new york",6210
"261",2020,4,6,"19 pandemic",5923
"262",2020,4,6,"intensive care",5578
"263",2020,4,6,"via youtube",4593
"264",2020,4,6,"coronavirus crisis",4572
"265",2020,4,6,"stay home",4482
"266",2020,4,6,"coronavirus cases",4363
"267",2020,4,6,"coronavirus outbreak",4272
"268",2020,4,6,"prime minister",4213
"269",2020,4,6,"social distancing",4002
"270",2020,4,6,"rel nofollow",3550
"271",2020,4,6,"href rel",3550
"272",2020,4,6,"true href",3461
"273",2020,4,6,"positive coronavirus",3461
"274",2020,4,6,"covid_19 covid19",3339
"275",2020,4,6,"amid coronavirus",3331
"276",2020,4,6,"coronavirus covid",3301
"277",2020,4,6,"death toll",3298
"278",2020,4,6,"due coronavirus",3250
"279",2020,4,6,"coronavirus via",3161
"280",2020,4,6,"bbc news",3123
"281",2020,4,6,"tested positive",3101
"282",2020,4,6,"19 crisis",3064
"283",2020,4,6,"coronavirus lockdown",3042
"284",2020,4,6,"tests positive",3027
"285",2020,4,6,"nofollow twitter",2969
"286",2020,4,6,"covid19 pandemic",2846
"287",2020,4,6,"johnson moved",2792
"288",2020,4,6,"19 cases",2771
"289",2020,4,6,"news coronavirus",2735
"290",2020,4,6,"fight coronavirus",2685
"291",2020,4,6,"moved intensive",2680
"292",2020,4,6,"19 patients",2609
"293",2020,4,6,"bronx zoo",2540
"294",2020,4,6,"fight covid19",2509
"295",2020,4,6,"new cases",2488
"296",2020,4,6,"white house",2480
"297",2020,4,6,"covid_19 coronavirus",2458
"298",2020,4,6,"coronavirus covid_19",2433
"299",2020,4,6,"positive covid",2422
"300",2020,4,6,"coronavirus symptoms",2416
"301",2020,4,6,"new coronavirus",2277
"302",2020,4,6,"10 000",2274
"303",2020,4,6,"bill gates",2261
"304",2020,4,6,"coronavirus patients",2216
"305",2020,4,6,"stay safe",2181
"306",2020,4,7,"covid 19",157280
"307",2020,4,7,"coronavirus covid19",10167
"308",2020,4,7,"coronavirus pandemic",10013
"309",2020,4,7,"covid19 coronavirus",9777
"310",2020,4,7,"19 pandemic",6384
"311",2020,4,7,"boris johnson",5745
"312",2020,4,7,"new york",5426
"313",2020,4,7,"coronavirus crisis",4810
"314",2020,4,7,"stay home",4474
"315",2020,4,7,"via youtube",4241
"316",2020,4,7,"coronavirus outbreak",4163
"317",2020,4,7,"social distancing",3843
"318",2020,4,7,"coronavirus cases",3665
"319",2020,4,7,"rel nofollow",3487
"320",2020,4,7,"href rel",3487
"321",2020,4,7,"coronavirus covid",3421
"322",2020,4,7,"true href",3414
"323",2020,4,7,"covid19 pandemic",3395
"324",2020,4,7,"death toll",3363
"325",2020,4,7,"amid coronavirus",3192
"326",2020,4,7,"19 crisis",3184
"327",2020,4,7,"intensive care",3060
"328",2020,4,7,"nofollow twitter",2968
"329",2020,4,7,"due coronavirus",2967
"330",2020,4,7,"white house",2892
"331",2020,4,7,"coronavirus lockdown",2882
"332",2020,4,7,"fight coronavirus",2879
"333",2020,4,7,"new cases",2857
"334",2020,4,7,"world health",2815
"335",2020,4,7,"coronavirus deaths",2780
"336",2020,4,7,"19 cases",2767
"337",2020,4,7,"fight covid19",2593
"338",2020,4,7,"donald trump",2504
"339",2020,4,7,"coronavirus via",2491
"340",2020,4,7,"news coronavirus",2454
"341",2020,4,7,"bbc news",2391
"342",2020,4,7,"fake news",2316
"343",2020,4,7,"stay safe",2295
"344",2020,4,7,"health care",2272
"345",2020,4,7,"19 patients",2229
"346",2020,4,7,"new coronavirus",2218
"347",2020,4,7,"fight covid",2210
"348",2020,4,7,"tested positive",2202
"349",2020,4,7,"public health",2188
"350",2020,4,7,"due covid",2177
"351",2020,4,7,"coronavirus death",2168
"352",2020,4,7,"healthcare workers",2166
"353",2020,4,7,"april 2020",2152
"354",2020,4,7,"coronavirus patients",2108
"355",2020,4,7,"prime minister",2103
"356",2020,4,7,"health workers",2101
"357",2020,4,8,"covid 19",162077
"358",2020,4,8,"coronavirus pandemic",11052
"359",2020,4,8,"coronavirus covid19",10276
"360",2020,4,8,"covid19 coronavirus",9196
"361",2020,4,8,"19 pandemic",6793
"362",2020,4,8,"coronavirus crisis",5564
"363",2020,4,8,"new york",5432
"364",2020,4,8,"coronavirus outbreak",4606
"365",2020,4,8,"coronavirus covid",4241
"366",2020,4,8,"stay home",4239
"367",2020,4,8,"via youtube",4234
"368",2020,4,8,"coronavirus cases",4141
"369",2020,4,8,"social distancing",4139
"370",2020,4,8,"rel nofollow",3704
"371",2020,4,8,"href rel",3704
"372",2020,4,8,"coronavirus lockdown",3691
"373",2020,4,8,"true href",3634
"374",2020,4,8,"death toll",3580
"375",2020,4,8,"amid coronavirus",3455
"376",2020,4,8,"due coronavirus",3454
"377",2020,4,8,"19 cases",3421
"378",2020,4,8,"19 crisis",3365
"379",2020,4,8,"covid19 pandemic",3294
"380",2020,4,8,"nofollow twitter",3143
"381",2020,4,8,"new cases",2945
"382",2020,4,8,"coronavirus via",2820
"383",2020,4,8,"donald trump",2673
"384",2020,4,8,"fight coronavirus",2636
"385",2020,4,8,"boris johnson",2524
"386",2020,4,8,"coronavirus deaths",2508
"387",2020,4,8,"white house",2487
"388",2020,4,8,"due covid",2405
"389",2020,4,8,"bbc news",2399
"390",2020,4,8,"news coronavirus",2355
"391",2020,4,8,"twitter web",2179
"392",2020,4,8,"fight covid",2169
"393",2020,4,8,"april 2020",2149
"394",2020,4,8,"coronavirus death",2137
"395",2020,4,8,"coronavirus response",2125
"396",2020,4,8,"19 patients",2119
"397",2020,4,8,"fight covid19",2097
"398",2020,4,8,"fake news",2091
"399",2020,4,8,"tested positive",2088
"400",2020,4,8,"public health",2060
"401",2020,4,8,"spread coronavirus",2049
"402",2020,4,8,"stay safe",2028
"403",2020,4,8,"du coronavirus",1993
"404",2020,4,8,"19 deaths",1991
"405",2020,4,8,"confirmed cases",1985
"406",2020,4,8,"new coronavirus",1980
"407",2020,4,8,"crisis coronavirus",1895
"408",2020,4,9,"covid 19",173752
"409",2020,4,9,"rantai covid",11025
"410",2020,4,9,"19 mari",10623
"411",2020,4,9,"coronavirus pandemic",10067
"412",2020,4,9,"coronavirus covid19",8398
"413",2020,4,9,"19 pandemic",6698
"414",2020,4,9,"covid19 coronavirus",6650
"415",2020,4,9,"new york",6242
"416",2020,4,9,"penyebaran covid",6170
"417",2020,4,9,"mata rantai",5953
"418",2020,4,9,"19 ikutiaturancegahcorona",5882
"419",2020,4,9,"untuk memutus",5659
"420",2020,4,9,"memutus mata",5652
"421",2020,4,9,"mari kita",5553
"422",2020,4,9,"untuk mencegah",5442
"423",2020,4,9,"dan seluruh",5436
"424",2020,4,9,"mencegah penyebaran",5435
"425",2020,4,9,"bekerja keras",5429
"426",2020,4,9,"berupaya untuk",5428
"427",2020,4,9,"dan berupaya",5427
"428",2020,4,9,"keras dan",5427
"429",2020,4,9,"bangsa tengah",5426
"430",2020,4,9,"seluruh elemen",5426
"431",2020,4,9,"tengah bekerja",5426
"432",2020,4,9,"elemen bangsa",5426
"433",2020,4,9,"kita dukung",5416
"434",2020,4,9,"yang telah",5355
"435",2020,4,9,"aturan untuk",5354
"436",2020,4,9,"dengan tetap",5339
"437",2020,4,9,"mengikuti aturan",5338
"438",2020,4,9,"dengan mengikuti",5331
"439",2020,4,9,"dukung segala",5329
"440",2020,4,9,"bekerjasama dengan",5327
"441",2020,4,9,"segala usahanya",5322
"442",2020,4,9,"kebijakan yang",5317
"443",2020,4,9,"tetap mengikuti",5315
"444",2020,4,9,"mengikuti kebijakan",5315
"445",2020,4,9,"memutuskan rantai",5296
"446",2020,4,9,"mari bekerjasama",5294
"447",2020,4,9,"usahanya dengan",5290
"448",2020,4,9,"telah ditetapkan",5246
"449",2020,4,9,"coronavirus crisis",5176
"450",2020,4,9,"demi memutuskan",5166
"451",2020,4,9,"pemerintah dan",4916
"452",2020,4,9,"ditetapkan ikutiaturancegahcorona",4853
"453",2020,4,9,"coronavirus cases",4596
"454",2020,4,9,"via youtube",4578
"455",2020,4,9,"stay home",4184
"456",2020,4,9,"coronavirus outbreak",4180
"457",2020,4,9,"social distancing",4029
"458",2020,4,9,"coronavirus covid",3995
"459",2020,4,10,"covid 19",161344
"460",2020,4,10,"coronavirus pandemic",9941
"461",2020,4,10,"coronavirus covid19",9015
"462",2020,4,10,"new york",7634
"463",2020,4,10,"19 pandemic",6936
"464",2020,4,10,"covid19 coronavirus",6783
"465",2020,4,10,"coronavirus cases",5005
"466",2020,4,10,"stay home",4998
"467",2020,4,10,"via youtube",4737
"468",2020,4,10,"social distancing",4508
"469",2020,4,10,"coronavirus crisis",4247
"470",2020,4,10,"death toll",4218
"471",2020,4,10,"coronavirus outbreak",3949
"472",2020,4,10,"coronavirus lockdown",3833
"473",2020,4,10,"href rel",3491
"474",2020,4,10,"rel nofollow",3491
"475",2020,4,10,"19 cases",3468
"476",2020,4,10,"coronavirus covid",3444
"477",2020,4,10,"apple google",3411
"478",2020,4,10,"true href",3411
"479",2020,4,10,"covidー19 coronavirus",3369
"480",2020,4,10,"amid coronavirus",3295
"481",2020,4,10,"100 000",3270
"482",2020,4,10,"new cases",3070
"483",2020,4,10,"coronavirus deaths",3017
"484",2020,4,10,"nofollow twitter",2877
"485",2020,4,10,"coronavirus covidー19",2849
"486",2020,4,10,"19 crisis",2814
"487",2020,4,10,"coronavirus via",2800
"488",2020,4,10,"covid19 pandemic",2667
"489",2020,4,10,"due coronavirus",2640
"490",2020,4,10,"white house",2600
"491",2020,4,10,"crisis coronavirus",2599
"492",2020,4,10,"bbc news",2597
"493",2020,4,10,"task force",2408
"494",2020,4,10,"news coronavirus",2342
"495",2020,4,10,"fight coronavirus",2260
"496",2020,4,10,"tested positive",2240
"497",2020,4,10,"19 patients",2236
"498",2020,4,10,"due covid",2174
"499",2020,4,10,"stay safe",2166
"500",2020,4,10,"spread coronavirus",2145
"501",2020,4,10,"good friday",2117
"502",2020,4,10,"fake news",2106
"503",2020,4,10,"fight covid19",2044
"504",2020,4,10,"coronavirus response",2031
"505",2020,4,10,"public health",2026
"506",2020,4,10,"coronavirus death",2017
"507",2020,4,10,"contact tracing",2012
"508",2020,4,10,"coronavirus patients",1996
"509",2020,4,10,"new coronavirus",1955
"510",2020,4,11,"covid 19",143263
"511",2020,4,11,"coronavirus covid19",8446
"512",2020,4,11,"coronavirus pandemic",8081
"513",2020,4,11,"new york",5842
"514",2020,4,11,"covid19 coronavirus",5619
"515",2020,4,11,"death toll",5489
"516",2020,4,11,"stay home",4665
"517",2020,4,11,"19 pandemic",4655
"518",2020,4,11,"coronavirus cases",4445
"519",2020,4,11,"via youtube",4297
"520",2020,4,11,"coronavirus deaths",4005
"521",2020,4,11,"coronavirus crisis",3796
"522",2020,4,11,"coronavirus lockdown",3731
"523",2020,4,11,"social distancing",3645
"524",2020,4,11,"19 cases",3427
"525",2020,4,11,"coronavirus outbreak",3183
"526",2020,4,11,"coronavirus covid",3163
"527",2020,4,11,"new cases",2983
"528",2020,4,11,"apple google",2842
"529",2020,4,11,"rel nofollow",2829
"530",2020,4,11,"href rel",2829
"531",2020,4,11,"true href",2781
"532",2020,4,11,"amid coronavirus",2585
"533",2020,4,11,"coronavirus covidー19",2579
"534",2020,4,11,"bbc news",2536
"535",2020,4,11,"nofollow twitter",2456
"536",2020,4,11,"19 patients",2433
"537",2020,4,11,"coronavirus via",2403
"538",2020,4,11,"new coronavirus",2331
"539",2020,4,11,"news coronavirus",2307
"540",2020,4,11,"due coronavirus",2286
"541",2020,4,11,"united states",2250
"542",2020,4,11,"coronavirus death",2247
"543",2020,4,11,"coronavirus patients",2192
"544",2020,4,11,"19 deaths",2182
"545",2020,4,11,"tested positive",2133
"546",2020,4,11,"fight covid19",1996
"547",2020,4,11,"covidー19 coronavirus",1953
"548",2020,4,11,"covid19 pandemic",1929
"549",2020,4,11,"19 crisis",1928
"550",2020,4,11,"white house",1923
"551",2020,4,11,"fight coronavirus",1914
"552",2020,4,11,"stay safe",1910
"553",2020,4,11,"confirmed cases",1873
"554",2020,4,11,"due covid",1840
"555",2020,4,11,"spread coronavirus",1823
"556",2020,4,11,"positive coronavirus",1761
"557",2020,4,11,"corona virus",1718
"558",2020,4,11,"du coronavirus",1712
"559",2020,4,11,"fake news",1705
"560",2020,4,11,"year old",1701
"561",2020,4,12,"covid 19",156727
"562",2020,4,12,"coronavirus covid19",10881
"563",2020,4,12,"coronavirus pandemic",8615
"564",2020,4,12,"last delivered",8425
"565",2020,4,12,"deliver copy",8425
"566",2020,4,12,"signing support",8373
"567",2020,4,12,"support usps",8221
"568",2020,4,12,"officials last",8193
"569",2020,4,12,"copy officials",8193
"570",2020,4,12,"usps deliver",8157
"571",2020,4,12,"covid19 coronavirus",8007
"572",2020,4,12,"new york",6171
"573",2020,4,12,"boris johnson",5143
"574",2020,4,12,"coronavirus cases",5129
"575",2020,4,12,"anak anak",4898
"576",2020,4,12,"coronavirus crisis",4838
"577",2020,4,12,"happy easter",4831
"578",2020,4,12,"death toll",4753
"579",2020,4,12,"19 pandemic",4710
"580",2020,4,12,"via youtube",4609
"581",2020,4,12,"stay home",4546
"582",2020,4,12,"19 semuapedulicovid19",4273
"583",2020,4,12,"social distancing",4084
"584",2020,4,12,"coronavirus lockdown",3929
"585",2020,4,12,"19 cases",3762
"586",2020,4,12,"new cases",3711
"587",2020,4,12,"coronavirus outbreak",3570
"588",2020,4,12,"rantai covid",3500
"589",2020,4,12,"amid coronavirus",3402
"590",2020,4,12,"coronavirus deaths",3266
"591",2020,4,12,"coronavirus covid",3249
"592",2020,4,12,"coronavirus via",3245
"593",2020,4,12,"bbc news",3153
"594",2020,4,12,"href rel",3068
"595",2020,4,12,"rel nofollow",3068
"596",2020,4,12,"true href",3013
"597",2020,4,12,"coronavirus response",2680
"598",2020,4,12,"nofollow twitter",2657
"599",2020,4,12,"10 000",2605
"600",2020,4,12,"easter sunday",2537
"601",2020,4,12,"due coronavirus",2509
"602",2020,4,12,"bill gates",2452
"603",2020,4,12,"news coronavirus",2418
"604",2020,4,12,"19 patients",2370
"605",2020,4,12,"physical distancing",2364
"606",2020,4,12,"covid19 pandemic",2356
"607",2020,4,12,"stay safe",2348
"608",2020,4,12,"coronavirus death",2302
"609",2020,4,12,"fight covid19",2300
"610",2020,4,12,"new coronavirus",2297
"611",2020,4,12,"brooke taylor",2270
"612",2020,4,13,"covid 19",191641
"613",2020,4,13,"bripka jerry",11724
"614",2020,4,13,"pasien covid",11313
"615",2020,4,13,"jenazah pasien",11249
"616",2020,4,13,"coronavirus covid19",10785
"617",2020,4,13,"coronavirus pandemic",10576
"618",2020,4,13,"covid19 coronavirus",9695
"619",2020,4,13,"19 pandemic",6769
"620",2020,4,13,"new york",6553
"621",2020,4,13,"deliver copy",6394
"622",2020,4,13,"last delivered",6394
"623",2020,4,13,"signing support",6387
"624",2020,4,13,"support usps",6338
"625",2020,4,13,"officials last",6295
"626",2020,4,13,"copy officials",6292
"627",2020,4,13,"usps deliver",6288
"628",2020,4,13,"19 jiwakemanusiaanpolri",6287
"629",2020,4,13,"coronavirus cases",5341
"630",2020,4,13,"19 yang",4939
"631",2020,4,13,"via youtube",4887
"632",2020,4,13,"coronavirus lockdown",4848
"633",2020,4,13,"coronavirus crisis",4664
"634",2020,4,13,"yang terlantar",4583
"635",2020,4,13,"hingga jam",4578
"636",2020,4,13,"terlantar hingga",4567
"637",2020,4,13,"stay home",4431
"638",2020,4,13,"million people",4421
"639",2020,4,13,"social distancing",4290
"640",2020,4,13,"19 cases",4151
"641",2020,4,13,"new cases",4108
"642",2020,4,13,"amid coronavirus",4059
"643",2020,4,13,"next coronavirus",3995
"644",2020,4,13,"coronavirus outbreak",3930
"645",2020,4,13,"student debt",3866
"646",2020,4,13,"coronavirus package",3860
"647",2020,4,13,"45 million",3840
"648",2020,4,13,"package studentdebtstimulus",3835
"649",2020,4,13,"href rel",3834
"650",2020,4,13,"rel nofollow",3834
"651",2020,4,13,"true href",3776
"652",2020,4,13,"coronavirus covid",3770
"653",2020,4,13,"stimulate economy",3709
"654",2020,4,13,"studentdebtstimulus help",3708
"655",2020,4,13,"help 45",3701
"656",2020,4,13,"cancelstudentdebt next",3701
"657",2020,4,13,"people student",3696
"658",2020,4,13,"urge cancelstudentdebt",3694
"659",2020,4,13,"economy needed",3689
"660",2020,4,13,"debt stimulate",3682
"661",2020,4,13,"death toll",3613
"662",2020,4,13,"makamkan jenazah",3478
"663",2020,4,14,"covid 19",188072
"664",2020,4,14,"coronavirus pandemic",12028
"665",2020,4,14,"coronavirus covid19",10294
"666",2020,4,14,"covid19 coronavirus",9407
"667",2020,4,14,"19 pandemic",7625
"668",2020,4,14,"19 baksostnipolriutknegeri",5653
"669",2020,4,14,"yang terdampak",5442
"670",2020,4,14,"new york",5385
"671",2020,4,14,"coronavirus lockdown",5296
"672",2020,4,14,"terdampak covid",5208
"673",2020,4,14,"coronavirus crisis",4944
"674",2020,4,14,"bakti sosial",4905
"675",2020,4,14,"social distancing",4802
